5,...,Baby Seat,This is a great and safe seat for your kid(s).,50,9,10,10
6,...,GPS,Get a gps and find your way.,80,9,10,3
6,...,GPS,Get a gps and find your way.,80,10,10,3
6,...,GPS,Get a gps and find your way.,80,11,10,3
6,...,GPS,Get a gps and find your way.,80,12,10,3
6,...,GPS,Get a gps and find your way.,80,13,10,3
7,...,AUX Cable,Listen to your music with AUX cable.,5,9,10,15
8,...,Baby Seat,This is a great and safe seat for your kid(s).,50,10,10,10
9,...,Baby Seat,This is a great and safe seat for your kid(s).,50,11,10,10
10,...,Baby Seat,This is a great and safe seat for your kid(s).,50,12,10,10
11,...,Baby Seat,This is a great and safe seat for your kid(s).,50,13,10,10
